1 51 [array([1, 1, 1, 2]), array([0, 2, 0, 1]), array([2, 0, 1, 3]), array([1, 1, 2, 2]), array([2, 0, 1, 0])]
1 52 [array([0, 1, 0, 2]), array([1, 0, 0, 0]), array([1, 1, 3, 1]), array([1, 1, 0, 1]), array([1, 1, 0, 0])]
1 53 [array([1, 0, 0, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 0]), array([1, 0, 1, 1]), array([2, 0, 0, 0])]
1 54 [array([1, 1, 0, 1]), array([1, 1, 2, 0]), array([2, 0, 3, 0]), array([1, 1, 0, 3]), array([0, 0, 1, 0])]
1 55 [array([1, 0, 0, 2]), array([1, 1, 0, 3]), array([2, 0, 0, 0]), array([1, 1, 1, 0]), array([1, 1, 0, 1])]
1 56 [array([1, 1, 0, 0]), array([1, 1, 2, 0]), array([1, 1, 0, 1]), array([1, 1, 0, 4]), array([0, 1, 2, 0])]
1 57 [array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 0, 1, 1]), array([0, 0, 1, 0]), array([1, 1, 0, 4])]
1 58 [array([0, 1, 0, 2]), array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([2, 0, 3, 0]), array([0, 0, 1, 0])]
1 59 [array([1, 1, 0, 0]), array([1, 0, 0, 0]), array([0, 1, 2, 0]), array([1, 0, 0, 2]), array([1, 0, 1, 1])]
1 60 [array([2, 0, 4, 0]), array([2, 0, 3, 1]), array([0, 2, 0, 1]), array([0, 1, 2, 0]), array([0, 0, 1, 0])]
1 61 [array([0, 2, 0, 0]), array([1, 0, 1, 1]), array([0, 1, 2, 0]), array([0, 0, 1, 0]), array([2, 0, 1, 0])]
1 62 [array([1, 1, 2, 0]), array([1, 1, 0, 0]), array([2, 0, 1, 0]), array([0, 2, 0, 0]), array([1, 1, 1, 0])]
1 63 [array([1, 1, 0, 3]), array([0, 0, 1, 0]), array([1, 0, 0, 2]), array([0, 2, 0, 0]), array([0, 2, 0, 1])]
1 64 [array([0, 0, 1, 0]), array([0, 2, 2, 0]), array([1, 1, 2, 2]), array([2, 0, 1, 0]), array([1, 1, 0, 3])]
1 65 [array([1, 0, 0, 2]), array([0, 2, 0, 1]), array([0, 2, 2, 0]), array([1, 1, 0, 3]), array([0, 0, 1, 0])]
1 66 [array([1, 1, 0, 1]), array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([1, 0, 1, 1]), array([0, 1, 2, 0])]
1 67 [array([0, 0, 1, 0]), array([1, 0, 1, 1]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 4])]
1 68 [array([0, 2, 0, 0]), array([0, 2, 0, 1]), array([1, 1, 2, 2]), array([1, 0, 2, 0]), array([2, 0, 1, 0])]
1 69 [array([0, 2, 0, 0]), array([0, 2, 2, 0]), array([2, 0, 1, 0]), array([1, 1, 1, 2]), array([2, 0, 3, 1])]
1 70 [array([1, 1, 0, 1]), array([2, 0, 4, 0]), array([1, 1, 0, 4]), array([0, 2, 0, 0]), array([1, 1, 2, 0])]
1 71 [array([0, 2, 0, 1]), array([2, 0, 1, 0]), array([1, 1, 0, 4]), array([2, 0, 4, 0]), array([1, 1, 0, 1])]
1 72 [array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([0, 2, 2, 0]), array([0, 0, 1, 0]), array([0, 2, 0, 1])]
1 73 [array([0, 2, 0, 1]), array([0, 1, 0, 2]), array([1, 0, 1, 1]), array([1, 1, 1, 2]), array([1, 1, 0, 0])]
1 74 [array([0, 1, 0, 2]), array([0, 2, 0, 0]), array([1, 1, 0, 0]), array([2, 0, 1, 0]), array([2, 0, 4, 0])]
1 75 [array([0, 0, 1, 0]), array([2, 0, 4, 0]), array([0, 1, 0, 2]), array([0, 2, 0, 1]), array([2, 0, 1, 0])]
1 76 [array([0, 2, 0, 1]), array([1, 1, 1, 0]), array([1, 1, 2, 0]), array([0, 0, 1, 0]), array([2, 0, 3, 1])]
1 77 [array([1, 1, 2, 0]), array([2, 0, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 1, 0]), array([0, 2, 0, 1])]
1 78 [array([1, 1, 2, 0]), array([1, 1, 1, 0]), array([1, 0, 1, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
1 79 [array([0, 1, 0, 2]), array([1, 1, 0, 0]), array([0, 1, 2, 0]), array([1, 1, 1, 0]), array([1, 0, 0, 2])]
1 80 [array([1, 0, 0, 2]), array([0, 2, 0, 0]), array([2, 0, 0, 1]), array([1, 1, 0, 3]), array([1, 1, 0, 4])]
1 81 [array([1, 1, 2, 0]), array([1, 1, 0, 3]), array([2, 0, 0, 1]), array([1, 0, 0, 2]), array([0, 2, 0, 0])]
1 82 [array([1, 0, 0, 2]), array([1, 1, 1, 0]), array([1, 1, 0, 1]), array([0, 0, 1, 0]), array([0, 2, 1, 1])]
1 83 [array([0, 0, 1, 0]), array([2, 0, 0, 1]), array([1, 1, 2, 0]), array([1, 1, 0, 1]), array([1, 1, 0, 4])]
